show_id,type,title,country,director,cast,date_added,release_year,rating,duration,listed_in,count,description
s31,Movie,#cats_the_mewvie,Canada,Michael Margolis,,"February 5, 2020",2020,TV-14,90 min,"Documentaries, International Movies",1,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
s32,Movie,#FriendButMarried,Indonesia,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila","May 21, 2020",2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies",1,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married."
s33,Movie,#FriendButMarried 2,Indonesia,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata","June 28, 2020",2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies",1,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
s34,Movie,#realityhigh,United States,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","September 8, 2017",2017,TV-14,99 min,Comedies,1,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
s35,Movie,#Roxy,Canada,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke","April 10, 2019",2018,TV-14,105 min,"Comedies, Romantic Movies",1,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
s36,Movie,#Rucker50,United States,Robert McCullough Jr.,,"December 1, 2016",2016,TV-PG,56 min,"Documentaries, Sports Movies",1,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.
s37,Movie,#Selfie,Romania,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu","June 1, 2019",2014,TV-MA,125 min,"Comedies, Dramas, International Movies",1,"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang."
s38,Movie,#Selfie 69,Romania,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut","June 1, 2019",2016,TV-MA,119 min,"Comedies, Dramas, International Movies",1,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days."
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,,,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu","March 30, 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,"When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore."
s40,Movie,"¡Ay, mi madre!",Spain,Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán","July 19, 2019",2019,TV-MA,81 min,"Comedies, International Movies",1,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance."
s41,Movie,Çarsi Pazar,Turkey,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman","March 10, 2017",2015,TV-14,97 min,"Comedies, International Movies",1,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
s42,Movie,Ég man þig,Iceland,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson","March 27, 2018",2017,TV-MA,106 min,"Horror Movies, International Movies",1,"Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret."
s43,Movie,Çok Filim Hareketler Bunlar,Turkey,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci","March 10, 2017",2010,TV-MA,99 min,"Comedies, International Movies",1,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
s44,Movie,Òlòtūré,Nigeria,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua","October 2, 2020",2020,TV-MA,107 min,"Dramas, International Movies",1,"In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence."
s45,Movie,Æon Flux,United States,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen","February 1, 2018",2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy",1,"Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader."
s46,TV Show,Şubat,Turkey,,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas","January 17, 2017",2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1,"An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past."
s47,Movie,1 Chance 2 Dance,United States,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride","July 1, 2017",2014,TV-PG,89 min,"Dramas, Romantic Movies",1,"When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream."
s48,Movie,1 Mile to You,United States,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote","July 7, 2017",2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies",1,"After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
s49,Movie,10 Days in Sun City,"South Africa, Nigeria",Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","October 18, 2019",2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies",1,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa."
s50,Movie,10 jours en or,France,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie","July 1, 2017",2012,TV-14,97 min,"Comedies, Dramas, International Movies",1,"When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives."
s51,Movie,"10,000 B.C.","United States, South Africa",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","June 1, 2019",2008,PG-13,109 min,Action & Adventure,1,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s52,TV Show,100 Days My Prince,South Korea,,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee","December 7, 2020",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",1,"Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette."
s53,Movie,100 Days Of Solitude,Spain,,,"July 6, 2018",2018,TV-MA,93 min,"Documentaries, International Movies",1,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings."
s54,TV Show,100 Humans,United States,,"Zainab Johnson, Sammy Obeid, Alie Ward","March 13, 2020",2020,TV-14,1 Season,"Docuseries, Science & Nature TV",1,"One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
s55,Movie,100 Meters,"Portugal, Spain",Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","March 10, 2017",2016,TV-MA,109 min,"Dramas, International Movies, Sports Movies",1,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help."
s56,Movie,100 Things to do Before High School,United States,,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda","November 2, 2019",2014,TV-Y,44 min,Movies,1,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years."
s57,Movie,100 Years: One Woman's Fight for Justice,United States,Melinda Janko,,"March 20, 2018",2016,TV-14,75 min,Documentaries,1,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
s58,Movie,100% Halal,Indonesia,Jastis Arimba,"Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih","January 7, 2021",2020,TV-14,101 min,"Dramas, International Movies",1,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
s59,TV Show,100% Hotter,United Kingdom,,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward","November 1, 2019",2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",1,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders."
s60,Movie,1000 Rupee Note,India,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad","December 1, 2016",2014,TV-14,89 min,"Dramas, International Movies",1,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
s61,Movie,12 ROUND GUN,United States,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone","March 14, 2019",2017,TV-MA,90 min,"Dramas, Independent Movies, Sports Movies",1,"Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
s62,TV Show,12 Years Promise,South Korea,,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu","May 22, 2017",2014,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",1,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
s63,Movie,13 Cameras,United States,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault","August 13, 2016",2015,NR,90 min,"Horror Movies, Independent Movies, Thrillers",1,"Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras."
s64,TV Show,13 Reasons Why,United States,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves","June 5, 2020",2020,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",1,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
s65,TV Show,13 Reasons Why: Beyond the Reasons,United States,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms","August 23, 2019",2019,TV-MA,3 Seasons,"Crime TV Shows, Docuseries",1,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
s66,Movie,13 Sins,United States,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince","January 13, 2019",2014,R,93 min,"Horror Movies, Thrillers",1,"A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake."
s67,Movie,13TH,United States,Ava DuVernay,,"October 7, 2016",2016,TV-MA,101 min,Documentaries,1,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom."
s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,,"Oprah Winfrey, Ava DuVernay","January 26, 2017",2017,,37 min,Movies,1,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system."
s69,Movie,14 Blades,"Hong Kong, China, Singapore",Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","April 3, 2019",2010,R,113 min,"Action & Adventure, International Movies",1,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed."
s70,Movie,14 Cameras,United States,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief","October 27, 2018",2018,TV-MA,89 min,"Horror Movies, Thrillers",1,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
s71,Movie,14 Minutes from Earth,United States,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",,"February 1, 2019",2016,TV-MA,84 min,Documentaries,1,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
s72,Movie,16 Blocks,"United States, Germany",Richard Donner,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","November 1, 2019",2006,PG-13,102 min,Action & Adventure,1,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive."
s73,Movie,17 Again,United States,Burr Steers,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller","January 1, 2021",2009,PG-13,102 min,Comedies,1,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
s74,Movie,18 Presents,Italy,Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli","May 8, 2020",2020,TV-MA,114 min,"Dramas, Independent Movies, International Movies",1,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
s75,Movie,1898: Our Last Men in the Philippines,Spain,Salvador Calvo,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios","June 2, 2017",2016,R,130 min,"Dramas, International Movies",1,"While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents."
